kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_crop,bc_supply,bc_penalty,bc_reconstructed,cql_crop,cql_supply,cql_penalty,cql_reconstructed,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive
reward_stats,w1.0_1.0_0.5,30000.0,-4.215965747833252,1.4998723268508911,0.6381495804863109,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_1.0_0.5,,,,,,,42.0,13.246488734374237,13.26841340441236,7.221370770015091,19.37473460100934,3.662249336145524,13.246488734374235,7.193909571310865,19.376106589879956,3.6135494618384905,13.268413404412355,"[1115, 4505, 2244, 1738, 398]","[937, 4855, 1840, 2310, 58]",w1.0_1.0_0.5_s42,0.021924670038124146,-0.13408652866573742,0.17959544107317693,True,0.6038
per_seed,w1.0_1.0_0.5,,,,,,,123.0,12.987053771053251,13.083530781321462,6.688241124119393,19.41567520289155,3.409024954511917,12.987053771053251,6.601354316236628,19.438458574913337,3.2370528223718447,13.083530781321453,"[1477, 4541, 1983, 1616, 383]","[1277, 5131, 1527, 2027, 38]",w1.0_1.0_0.5_s123,0.0964770102682096,-0.029390345720672915,0.2270864978351415,True,0.9338
per_seed,w1.0_1.0_0.5,,,,,,,2024.0,13.085960285974222,13.152150836923806,6.89064401725136,19.40475691962683,3.5070621910905535,13.08596028597422,6.83132803093523,19.422058413148857,3.390206400585857,13.152150836923802,"[1427, 4406, 2212, 1633, 322]","[1277, 4716, 2013, 1898, 96]",w1.0_1.0_0.5_s2024,0.06619055094958076,-0.021958880145462736,0.15604451531251853,True,0.9282
pooled,w1.0_1.0_0.5,,,,,,,,13.106500930467238,13.168031674219208,,,,,,,,,,,w1.0_1.0_0.5_pooled,0.06153074375197149,-0.01045451139248167,0.13318812769674546,True,0.95
reward_stats,w1.0_4.0_0.5,30000.0,-18.500017166137695,1.4994895458221436,0.10911614104823966,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_4.0_0.5,,,,,,,42.0,2.259740725937666,3.73088400544192,7.221370770015091,19.37473460100934,3.662249336145524,2.2597407259376645,7.052060171362948,19.45679145874713,3.2623929738236486,3.7308840054419186,"[1115, 4505, 2244, 1738, 398]","[877, 5041, 2023, 2059, 0]",w1.0_4.0_0.5_s42,1.4711432795042547,0.8309056395652079,2.178905566154978,False,1.0
per_seed,w1.0_4.0_0.5,,,,,,,123.0,2.7599789075175005,4.130588924052495,6.688241124119393,19.41567520289155,3.409024954511917,2.7599789075174996,6.467527993366428,19.48585611808878,3.0199667820895826,4.130588924052489,"[1477, 4541, 1983, 1616, 383]","[1270, 5305, 1583, 1842, 0]",w1.0_4.0_0.5_s123,1.3706100165349957,0.8289922581468733,1.9589127990955197,False,1.0
per_seed,w1.0_4.0_0.5,,,,,,,2024.0,2.564773712702565,4.1331388276023535,6.89064401725136,19.40475691962683,3.5070621910905535,2.5647737127025607,6.678228560340626,19.488338756602946,3.072314777759935,4.133138827602359,"[1427, 4406, 2212, 1633, 322]","[1221, 4957, 2028, 1794, 0]",w1.0_4.0_0.5_s2024,1.5683651148997884,1.005900062347652,2.1817529088258367,False,1.0
pooled,w1.0_4.0_0.5,,,,,,,,2.528164448719244,3.9982039190322562,,,,,,,,,,,w1.0_4.0_0.5_pooled,1.4700394703130126,1.1283281057560997,1.8284477104240793,False,1.0
