episode,q_predicted,realized_return,first_action,rank_by_q,rank_by_return
476,3.2013264,13.673790239703699,1,162.0,381.0
169,3.2022576,10.766924591712545,1,163.0,171.0
496,3.2022662,15.386820246355768,1,164.0,486.0
79,3.203918,15.426601143691862,1,165.0,487.0
76,3.2041988,14.059518173655977,1,166.0,417.0
304,3.2056537,10.113234680445196,1,167.0,141.0
408,3.205892,11.768334331533433,1,168.0,235.0
35,3.207879,13.596900881901197,1,169.0,370.0
380,3.2082086,13.267682422273413,1,170.0,334.0
300,3.2083259,14.959530122057938,1,171.0,464.0
374,3.2093248,13.357637186521789,1,172.0,343.0
280,3.2109652,10.136611614535411,1,173.0,143.0
77,3.2119184,12.416544331540459,1,174.0,272.0
381,3.2132502,13.63374611113365,1,175.0,377.0
80,3.2133532,13.256913900503129,1,176.0,333.0
193,3.2145529,9.632250681336828,1,177.0,126.0
394,3.216854,12.293777900923848,1,178.0,265.0
8,3.217605,11.696557052762907,1,179.0,224.0
196,3.217639,14.249435037515473,1,180.0,429.0
343,3.2181647,14.494200102762603,1,181.0,445.0
392,3.2182837,13.458869634371592,1,182.0,351.0
86,3.2186942,10.192430123931512,1,183.0,147.0
154,3.2209475,14.155938287532141,1,184.0,419.0
176,3.221098,13.668519169370539,1,185.0,380.0
9,3.2212956,15.106518602866153,1,186.0,471.0
45,3.2213712,12.41816230406432,1,187.0,273.0
332,3.221426,11.906867808261858,1,188.0,242.0
364,3.221878,14.092496306806057,1,189.0,418.0
59,3.2219489,14.034001268018049,1,190.0,415.0
301,3.2219768,11.518810515996428,1,191.0,212.0
274,3.2228098,14.820248992880677,1,192.0,461.0
170,3.2229242,12.485415745340127,1,193.0,278.0
144,3.2232099,15.557008222905184,1,194.0,490.0
236,3.2238135,14.471223400400492,1,195.0,442.0
406,3.2244804,13.051196616591842,1,196.0,312.0
347,3.225373,13.70756545141763,1,197.0,387.0
491,3.2264495,10.1345013897627,1,198.0,142.0
376,3.2293024,11.751055969090665,1,199.0,232.0
7,3.2299447,13.81026544349636,1,200.0,396.0
163,3.2322717,12.002925141374623,1,201.0,248.0
335,3.2323952,13.189227150233231,1,202.0,327.0
75,3.2331493,11.291131717995393,1,203.0,199.0
171,3.2335522,13.026474112331078,1,204.0,309.0
205,3.233784,13.882541158342905,1,205.0,408.0
57,3.2368188,15.236511638830189,1,206.0,482.0
397,3.2375164,13.494176983072444,1,207.0,354.0
267,3.2376218,14.190587958166413,1,208.0,424.0
460,3.2396126,13.511454453870329,1,209.0,358.0
132,3.2397528,11.358918503232216,1,210.0,205.0
83,3.2409742,12.582349405771142,1,211.0,284.0
409,3.2410274,13.694267007874313,1,212.0,386.0
306,3.2420733,13.103314340149293,1,213.0,315.0
130,3.243863,10.019517706509813,1,214.0,135.0
472,3.2457807,13.545422549538728,1,215.0,366.0
342,3.2503834,11.045505246690878,1,216.0,189.0
39,3.2518067,12.916551268838166,1,217.0,304.0
119,3.2524424,10.039807462393917,1,218.0,136.0
369,3.2529051,13.747376611430244,1,219.0,391.0
266,3.2530003,11.996624955905205,1,220.0,247.0
202,3.25492,11.501978975127882,1,221.0,210.0
183,3.255395,11.29851278073246,1,222.0,200.0
461,3.257132,15.1712219097676,1,223.0,476.0
486,3.2573228,11.677831469532096,1,224.0,222.0
167,3.2602816,11.787834472774255,1,225.0,237.0
72,3.2617614,12.012650985224466,1,226.0,250.0
426,3.2666001,13.17045303879401,1,227.0,326.0
310,3.266914,12.276635816985134,1,228.0,264.0
458,3.2672544,13.148325076001251,1,229.0,320.0
404,3.267386,12.128764902943717,1,230.0,257.0
188,3.2676537,13.055334423217774,1,231.0,313.0
331,3.2691412,9.835801489648608,1,232.0,130.0
126,3.2709322,10.431881476451833,1,233.0,158.0
296,3.2729797,12.05069432629437,1,234.0,252.0
4,3.2747326,16.55824847916597,1,235.0,499.0
485,3.2757878,14.33067577546962,1,236.0,435.0
341,3.2776976,14.857813537731563,1,237.0,462.0
432,3.2786503,14.74826382767334,1,238.0,457.0
442,3.279324,15.596439810029318,1,239.0,491.0
278,3.2805762,15.188247866285987,1,240.0,477.0
414,3.2817414,11.736996198213596,1,241.0,228.0
328,3.2862277,13.544626882818285,1,242.0,365.0
85,3.288427,11.559724760286905,1,243.0,215.0
55,3.2890515,12.74423873328074,1,244.0,298.0
419,3.292365,10.267527812843488,1,245.0,151.0
255,3.2925446,9.703659176094202,1,246.0,128.0
173,3.2931557,12.614929367118837,1,247.0,286.0
416,3.2932396,12.629550269506232,1,248.0,288.0
210,3.2941043,12.015305110839718,1,249.0,251.0
29,3.2957046,11.104779718863387,1,250.0,192.0
254,3.2973022,11.32250385690705,1,251.0,201.0
466,3.2976966,14.478792866080138,1,252.0,444.0
286,3.2979116,14.75104441960651,1,253.0,458.0
453,3.2981422,11.767043510909716,1,254.0,234.0
421,3.3009224,13.863246798890367,1,255.0,405.0
373,3.3068314,11.075069886095095,1,256.0,190.0
110,3.307628,15.747947552768377,1,257.0,496.0
293,3.3131888,12.065365171624482,1,258.0,253.0
295,3.3139386,10.165670528062254,1,259.0,145.0
90,3.3139606,11.209813225067604,1,260.0,196.0
145,3.314813,10.091365680233,1,261.0,138.0
452,3.3233829,11.824952412237947,1,262.0,240.0
377,3.3242717,10.096537599517488,1,263.0,139.0
17,3.329478,10.017157237714393,1,264.0,134.0
60,3.3301659,13.531928481602293,1,265.0,362.0
249,3.330534,10.550044380597802,1,266.0,164.0
318,3.3337712,13.157667688272545,1,267.0,323.0
382,3.3351095,15.19469429352516,1,268.0,478.0
221,3.335444,13.287527753090586,1,269.0,335.0
379,3.335455,10.936743502735288,1,270.0,184.0
277,3.3366952,12.964445852246559,1,271.0,306.0
275,3.3378644,14.698449830758205,1,272.0,453.0
36,3.3380816,13.527563316888491,1,273.0,360.0
410,3.338343,11.660039657107715,1,274.0,220.0
74,3.3400655,13.14961616066082,1,275.0,321.0
481,3.3409495,13.592117982439042,1,276.0,368.0
391,3.342795,13.40189197789056,1,277.0,348.0
12,3.3429437,14.799664852883511,1,278.0,460.0
