stratum,value,n,rmse,mae,r2,kriging_rmse
season+region,season=post-monsoon | region=SE,1631,5.709330468080197,3.8076087650956465,0.2014776789242646,5.968093699268917
season+region,season=post-monsoon | region=SW,1163,3.8373964113069436,2.9179607177822997,0.09241603359336925,3.7682682887298946
season+region,season=pre-monsoon | region=NE,415,5.4497773081842835,3.773838098190992,0.0050139576857716195,5.475607215575672
season+region,season=pre-monsoon | region=NW,265,6.41047759185279,4.417786314952166,-0.029578181526708436,6.330644411848139
season+region,season=pre-monsoon | region=SE,303,9.260575783081043,6.011314379187547,0.12801356020378152,9.509994487177792
season+region,season=pre-monsoon | region=SW,151,4.297174051021459,3.344092462156568,0.024220900063965378,4.111604725915183
year+season+region,year=2014 | season=post-monsoon | region=SE,11,9.308384136130472,6.658125088670869,-0.32217129263475375,9.139593416210197
year+season+region,year=2015 | season=monsoon | region=SE,11,11.6558591506374,7.959768421640702,-0.3038357181267073,11.249648752565747
year+season+region,year=2015 | season=post-monsoon | region=NE,15,2.141462124853144,1.8621320674840462,-0.0691754991820428,2.56899345472236
year+season+region,year=2015 | season=post-monsoon | region=NW,47,4.9647008961115455,3.3435188650144507,0.1684735188044234,4.696326478105146
year+season+region,year=2015 | season=post-monsoon | region=SE,19,6.933522965714704,5.398811163815942,0.17856141442494688,6.850534955077013
year+season+region,year=2015 | season=post-monsoon | region=SW,7,2.0200738122318986,1.8175548494399456,-0.9001021741803523,1.681165061322239
year+season+region,year=2015 | season=pre-monsoon | region=SE,12,10.797968424468246,7.619307644198887,-0.32580506752881755,11.58965122665154
year+season+region,year=2016 | season=monsoon | region=SE,3,1.2434097121885241,1.195661638337097,-0.49365694962136764,2.932176185673494
year+season+region,year=2016 | season=post-monsoon | region=NE,159,3.1388309656718505,2.38530931925558,0.3295570823708108,3.2931791379808684
year+season+region,year=2016 | season=post-monsoon | region=NW,189,5.014750821879618,3.515444264739651,0.04586593114714044,5.481362861062603
year+season+region,year=2016 | season=post-monsoon | region=SE,155,5.093600942675316,3.69545328880706,0.13180966414308526,5.196869820821338
year+season+region,year=2016 | season=post-monsoon | region=SW,122,3.519992234521705,2.6481738399109735,0.08028229606648585,3.5461620363883997
year+season+region,year=2016 | season=pre-monsoon | region=NE,92,4.690930673732191,3.6790018726966354,-0.04415460961076123,4.944491042099807
year+season+region,year=2016 | season=pre-monsoon | region=NW,50,5.073119226954364,3.941161179900905,0.09104193080845058,5.030725286323286
year+season+region,year=2016 | season=pre-monsoon | region=SE,61,6.636781071964064,5.058331989050123,0.1709948093285596,6.466983139350146
year+season+region,year=2016 | season=pre-monsoon | region=SW,48,4.650899855300647,3.805213951700678,0.003511490003771378,4.4348458056220235
year+season+region,year=2017 | season=monsoon | region=NE,86,3.663374805338038,2.8839421093767483,0.08339627961322171,3.5188714823566665
year+season+region,year=2017 | season=monsoon | region=NW,2,1.8937748008497328,1.5153027266831622,-1.3899261949743904,2.355018746378609
year+season+region,year=2017 | season=monsoon | region=SE,17,6.518937347637297,4.720030698186583,0.026126169442666325,6.2317485381921855
year+season+region,year=2017 | season=post-monsoon | region=NE,285,3.366981689586652,2.4569062245413598,0.08648425556841854,3.306434457376777
year+season+region,year=2017 | season=post-monsoon | region=NW,268,4.8594353995042345,3.3995123048998925,0.03294591002528813,5.046078461504267
year+season+region,year=2017 | season=post-monsoon | region=SE,379,5.122816069957033,3.726561996782539,0.16807368788199273,5.425131345686798
year+season+region,year=2017 | season=post-monsoon | region=SW,260,3.5759388436687662,2.789705918594932,0.09421582411075391,3.5153447438381087
year+season+region,year=2017 | season=pre-monsoon | region=NE,125,5.031700147979309,3.415024511863529,0.029477255362928556,5.15341967672957
year+season+region,year=2017 | season=pre-monsoon | region=NW,103,4.939623073324654,3.6441242776378027,0.05212944187729385,4.9547088717952885
year+season+region,year=2017 | season=pre-monsoon | region=SE,59,8.288915950869074,5.9020544641205035,0.09098320555129147,8.971763995698668
year+season+region,year=2017 | season=pre-monsoon | region=SW,55,3.6384519093315375,2.8960378209473054,0.1049254955704938,3.6291682742396794
year+season+region,year=2018 | season=monsoon | region=NE,36,4.982679193237456,4.230757137988045,0.12132254349154725,4.0754518438205745
year+season+region,year=2018 | season=monsoon | region=NW,27,4.7597942909446145,3.811006361970547,0.01374921289369846,4.608663808052435
year+season+region,year=2018 | season=monsoon | region=SW,1,0.5799589868944786,0.5799589868944786,,0.46193656921386683
year+season+region,year=2018 | season=post-monsoon | region=NE,190,4.559986742281112,2.943785792681019,0.05356635443489366,4.495803302652438
year+season+region,year=2018 | season=post-monsoon | region=NW,139,5.055246105860263,3.6048474869587155,0.07258927422512473,5.1885118084257025
year+season+region,year=2018 | season=post-monsoon | region=SE,293,6.048444594348308,3.997514190819732,0.09859867886596718,6.70359524859893
year+season+region,year=2018 | season=post-monsoon | region=SW,175,3.7927970280391006,3.1454076784800176,0.00945660767280554,3.7978405874407053
year+season+region,year=2018 | season=pre-monsoon | region=NE,61,6.114202725837083,4.207222899258857,0.03267759674857018,6.149694556924596
year+season+region,year=2018 | season=pre-monsoon | region=NW,5,5.0617469793672445,4.037495331419721,0.2228772725870115,5.760134138061136
year+season+region,year=2018 | season=pre-monsoon | region=SE,28,8.168984314556882,6.24298995935949,0.05166325831488272,7.468662867135961
year+season+region,year=2018 | season=pre-monsoon | region=SW,11,2.7802754167253987,1.926328701473502,-0.010871833260011954,3.1903771738743436
year+season+region,year=2019 | season=monsoon | region=NE,4,3.5742211775098416,3.114233427992874,-1.889716421859355,5.969868194650026
year+season+region,year=2019 | season=monsoon | region=NW,30,7.903177880982072,5.422705003509978,-0.11468183207747806,7.687760390323271
year+season+region,year=2019 | season=monsoon | region=SE,44,11.664733321459796,7.378626370114054,-0.16268422348271816,10.515176080993589
year+season+region,year=2019 | season=monsoon | region=SW,4,2.529368498632997,2.1061550319039273,-0.12599472913666676,2.465192247211732
year+season+region,year=2019 | season=post-monsoon | region=NE,277,3.98190382937864,2.523290193785509,0.2413050116671741,3.8617326688549474
year+season+region,year=2019 | season=post-monsoon | region=NW,262,4.588649636009572,3.1526343031970256,0.18977643425280044,5.287817866408282
year+season+region,year=2019 | season=post-monsoon | region=SE,308,6.113878690106597,4.270410409681943,0.28575280434710604,6.361669924776593
year+season+region,year=2019 | season=post-monsoon | region=SW,248,4.495854588474051,3.0996027533361263,0.15115756060846852,4.566347945172666
year+season+region,year=2019 | season=pre-monsoon | region=NE,137,5.953556864569976,3.9719414425068593,-0.026002950527276747,5.773567068323555
year+season+region,year=2019 | season=pre-monsoon | region=NW,107,8.06622617137639,5.403019039378377,-0.1769839322329423,7.889750570635744
year+season+region,year=2019 | season=pre-monsoon | region=SE,143,10.56997190570786,6.282611060043409,0.1423242786972716,10.8806037449136
year+season+region,year=2019 | season=pre-monsoon | region=SW,37,5.032065216344296,3.8334053036675386,-0.1264271588597048,4.568639142777546
year+season+region,year=2020 | season=monsoon | region=NE,14,2.3086478965018338,2.129350541382382,0.10875820509016809,2.7535944096337537
year+season+region,year=2020 | season=monsoon | region=NW,24,5.277566793678777,2.654854802742101,0.0894598013628729,4.172134510770743
year+season+region,year=2020 | season=monsoon | region=SE,5,17.96849988199602,11.405539754066275,-0.26768050541535593,18.722647730498927
year+season+region,year=2020 | season=post-monsoon | region=NE,222,3.1129197947320346,2.317860422928097,0.12227427149237224,3.0722116090602967
year+season+region,year=2020 | season=post-monsoon | region=NW,201,4.295897851736373,2.9472252622626876,-0.15180417872288454,4.468674998691855
year+season+region,year=2020 | season=post-monsoon | region=SE,304,6.002669271898794,3.5700764548430697,0.20232202848149494,6.103094184123592
year+season+region,year=2020 | season=post-monsoon | region=SW,219,3.832013923024472,3.0561358293733494,-0.009204069385527092,3.4483315684922977
year+season+region,year=2021 | season=post-monsoon | region=NE,136,3.295481096127015,2.3980371350668057,0.13701277779196064,3.295352370934082
year+season+region,year=2021 | season=post-monsoon | region=NW,134,4.1253164188355855,2.867019556090311,0.16553662668952773,4.480684857783868
year+season+region,year=2021 | season=post-monsoon | region=SE,162,5.058321823164149,2.9467255856353534,0.07968651926704928,4.9606718100112905
year+season+region,year=2021 | season=post-monsoon | region=SW,132,3.387747009786857,2.6062356843696035,0.048658903357024386,3.3120870198563725
