well_id,date,lat,lon,actual,pred_v1,pred_v2,kriging
W_15.9389_79.9589,2020-01-09,15.93889,79.95889,1.11,5.842239734881576,5.110386592209362,5.372737884521484
W_15.9389_79.9589,2020-11-29,15.93889,79.95889,1.52,4.085142551678749,3.513362410232149,3.277660846710205
W_15.9389_79.9589,2021-01-09,15.93889,79.95889,1.4,3.2901160792338633,3.987776319899228,3.059433460235596
W_15.7972_80.4108,2016-11-04,15.79722,80.41083,2.1,5.105986733167061,5.24188935465208,5.122968673706055
W_15.7972_80.4108,2019-01-04,15.79722,80.41083,2.8,5.12691066497196,4.712194644126582,4.678185939788818
W_15.7972_80.4108,2019-05-04,15.79722,80.41083,3.22,10.55426069173184,8.694640960139415,10.567611694335938
W_15.7972_80.4108,2019-08-19,15.79722,80.41083,2.51,6.424317854617726,5.599609972580997,6.066368103027344
W_15.7972_80.4108,2019-10-31,15.79722,80.41083,1.67,5.484820590763022,5.994181713843252,4.275356769561768
W_15.7972_80.4108,2020-01-09,15.79722,80.41083,2.12,5.342657753145883,5.392286360115456,5.002880573272705
W_15.7972_80.4108,2020-11-29,15.79722,80.41083,2.4,5.921901547869569,5.346051348615072,3.3494887351989746
W_15.7972_80.4108,2021-01-09,15.79722,80.41083,2.16,4.235733958612207,4.218916043129052,4.1480889320373535
W_16.4361_79.7889,2016-11-04,16.43611,79.78889,0.9,4.794733754267993,5.1802606570044105,3.969048261642456
W_16.4361_79.7889,2017-01-04,16.43611,79.78889,1.17,5.57047679968526,4.9403739876534845,5.489218235015869
W_16.4361_79.7889,2018-11-04,16.43611,79.78889,5.58,7.950577760446809,7.329946931759294,7.962258815765381
W_16.4361_79.7889,2019-05-04,16.43611,79.78889,8.02,9.34109301872608,8.595409013792557,7.986537456512451
W_16.4361_79.7889,2019-10-31,16.43611,79.78889,2.0,4.219759340910781,4.396190589219395,4.275356769561768
W_16.4361_79.7889,2020-01-09,16.43611,79.78889,2.7,3.6106849472346783,5.08982589504179,2.843797206878662
W_16.4361_79.7889,2020-11-29,16.43611,79.78889,0.6,3.9217234686755704,3.87560919380041,3.351253032684326
W_16.4361_79.7889,2021-01-09,16.43611,79.78889,1.3,3.834886234884993,4.167668324789773,3.461743831634521
W_16.4356_80.5903,2016-11-04,16.43556,80.59028,8.8,6.558384631096845,5.999406368256597,6.06500768661499
W_16.4356_80.5903,2019-01-04,16.43556,80.59028,22.4,5.876951982647719,5.54236301135857,7.752002716064453
W_16.47_80.1383,2016-11-04,16.47,80.13833,4.8,4.169645814953839,4.893031815286873,3.944259643554688
W_16.47_80.1383,2017-01-04,16.47,80.13833,7.52,5.455310301204102,4.789473188896006,5.480133533477783
W_16.47_80.1383,2019-01-04,16.47,80.13833,6.59,4.352542066311025,4.612862828319148,3.864235162734986
W_16.47_80.1383,2019-05-04,16.47,80.13833,8.8,7.747330400422685,8.056691518425882,7.892505645751953
W_16.47_80.1383,2019-10-31,16.47,80.13833,4.85,3.723034205776646,4.58697837971353,4.275356769561768
W_16.47_80.1383,2020-01-09,16.47,80.13833,5.15,3.218916414593703,4.84369180108906,3.0091652870178223
W_16.47_80.1383,2020-11-29,16.47,80.13833,2.45,4.192237404197016,3.705204564152892,2.1526007652282715
W_16.47_80.1383,2021-01-09,16.47,80.13833,3.42,2.469691571465532,3.218765551155625,2.3412981033325195
W_16.5517_79.5494,2016-11-04,16.55167,79.54944,0.35,8.108160578996742,7.415825715863245,6.5340352058410645
W_16.5517_79.5494,2018-11-04,16.55167,79.54944,0.83,7.917538951679091,6.83380544573556,7.962258815765381
W_16.5517_79.5494,2018-11-11,16.55167,79.54944,1.6,7.917538951679091,6.83380544573556,7.962258815765381
W_16.5517_79.5494,2018-11-18,16.55167,79.54944,1.55,7.016102485813111,6.392882249536931,4.538336277008057
W_16.5517_79.5494,2018-11-25,16.55167,79.54944,1.6,7.016102485813111,6.392882249536931,4.538336277008057
W_16.5517_79.5494,2018-12-11,16.55167,79.54944,1.5,4.407548976070794,4.494854817373621,4.538336277008057
W_16.5517_79.5494,2018-12-18,16.55167,79.54944,1.2,4.554257673056691,4.1218629114483445,8.51134204864502
W_16.5517_79.5494,2018-12-25,16.55167,79.54944,1.0,4.554257673056691,4.1218629114483445,8.51134204864502
W_16.5517_79.5494,2019-01-04,16.55167,79.54944,0.76,6.62508185078225,6.34999512736817,8.51134204864502
W_16.5517_79.5494,2019-05-04,16.55167,79.54944,1.23,10.329993114871618,9.101734844497336,10.571836471557615
W_16.5517_79.5494,2019-10-31,16.55167,79.54944,0.92,4.860928626059245,5.13824446815104,4.275356769561768
W_16.5517_79.5494,2020-01-09,16.55167,79.54944,0.9,5.055579998677246,4.9157609765466415,5.665775299072266
W_16.5517_79.5494,2020-11-29,16.55167,79.54944,0.95,4.023583839806228,3.720777282499056,4.476887226104736
W_16.5517_79.5494,2021-01-09,16.55167,79.54944,1.03,5.136350751663988,5.280580223790117,4.796595096588135
W_16.4278_79.8361,2016-11-04,16.42778,79.83611,3.2,4.794733754267994,5.1802606570044105,3.969048261642456
W_16.4278_79.8361,2017-01-04,16.42778,79.83611,3.75,5.57047679968526,4.9403739876534845,5.489218235015869
