well_id,date,actual,predicted_lstm,predicted_persistence
W_15.7778_76.7653,2020-01-09,1.65,3.8294444,3.25
W_15.7778_76.7653,2020-11-29,0.00999999,-0.18940139,1.65
W_15.7778_76.7653,2021-01-09,0.28,0.12954302,0.01
W_15.7972_80.4108,2016-11-04,2.1000001,0.48958015,2.65
W_15.7972_80.4108,2017-01-04,1.6399999,2.6230443,2.1
W_15.7972_80.4108,2017-08-24,2.78,1.0312854,1.64
W_15.7972_80.4108,2018-08-19,2.71,2.4939322,2.78
W_15.7972_80.4108,2018-11-04,2.73,1.3030216,2.71
W_15.7972_80.4108,2019-01-04,2.8,2.6942053,2.73
W_15.7972_80.4108,2019-05-04,3.22,2.5444007,2.8
W_15.7972_80.4108,2019-08-19,2.51,2.2425623,3.22
W_15.7972_80.4108,2019-10-31,1.6700001,2.5418837,2.51
W_15.7972_80.4108,2020-01-09,2.12,1.5613475,1.67
W_15.7972_80.4108,2020-11-29,2.3999999,1.4972854,2.12
W_15.7972_80.4108,2021-01-09,2.16,2.1046882,2.4
W_15.8017_79.6783,2017-08-24,5.5,5.8586416,5.3
W_15.8017_79.6783,2018-08-19,5.83,5.6058164,5.5
W_15.8017_79.6783,2018-11-04,5.42,5.3394675,5.83
W_15.8017_79.6783,2019-01-04,5.34,5.6486945,5.42
W_15.8017_79.6783,2019-05-04,5.27,6.1157327,5.34
W_15.8017_79.6783,2019-08-19,5.4,4.580057,5.27
W_15.8017_79.6783,2019-10-31,5.19,4.1315494,5.4
W_15.8017_79.6783,2020-01-09,3.87,5.56677,5.19
W_15.8017_79.6783,2020-11-29,3.8999999,3.3538644,3.87
W_15.8017_79.6783,2021-01-09,3.39,4.1997557,3.9
W_15.8056_78.0397,2019-05-04,5.7,6.4085984,5.62
W_15.8056_78.0397,2019-08-19,4.52,3.7778568,5.7
W_15.8056_78.0397,2019-10-31,2.36,3.245666,4.52
W_15.8056_78.0397,2020-01-09,3.8999999,2.7501206,2.36
W_15.8056_78.0397,2020-11-29,5.57,-0.08706188,3.9
W_15.8056_78.0397,2021-01-09,2.64,6.220232,5.57
W_15.8222_79.975,2017-01-04,6.99,2.0872073,1.66
W_15.8222_79.975,2017-08-24,10.299999,7.2525673,6.99
W_15.8222_79.975,2018-08-19,5.2200003,10.347387,10.3
W_15.8222_79.975,2018-11-04,10.26,4.972702,5.22
W_15.8222_79.975,2019-01-04,10.8,10.538855,10.26
W_15.8222_79.975,2019-05-04,13.8,11.423492,10.8
W_15.8222_79.975,2019-08-19,11.37,13.06464,13.8
W_15.8222_79.975,2019-10-31,9.76,10.180179,11.37
W_15.8222_79.975,2020-01-09,10.400001,10.22777,9.76
W_15.8222_79.975,2020-11-29,7.0899997,9.419403,10.4
W_15.8222_79.975,2021-01-09,5.4,7.443245,7.09
W_15.8389_76.4583,2017-01-04,10.75,9.915261,8.9
W_15.8389_76.4583,2020-01-09,11.59,12.010472,10.75
W_15.8389_76.4583,2020-11-29,0.10000038,12.631726,11.59
W_15.8389_76.4583,2021-01-09,0.95000005,0.14994252,0.1
W_15.8542_77.1208,2016-11-04,5.75,6.450066,6.45
W_15.8542_77.1208,2017-01-04,6.36,6.1976743,5.75
W_15.8542_77.1208,2017-08-24,9.85,6.9017534,6.36
W_15.8542_77.1208,2018-08-19,6.5600004,9.059156,9.85
W_15.8542_77.1208,2018-11-04,6.23,6.2442102,6.56
W_15.8542_77.1208,2019-01-04,6.21,6.8026247,6.23
W_15.8542_77.1208,2019-05-04,7.46,7.9754057,6.21
W_15.8542_77.1208,2019-08-19,7.45,6.0009317,7.46
W_15.8542_77.1208,2019-10-31,6.2999997,6.249572,7.45
W_15.8542_77.1208,2020-01-09,4.86,7.066386,6.3
W_15.8542_77.1208,2020-11-29,1.8600001,2.084047,4.86
W_15.8542_77.1208,2021-01-09,2.23,2.3215406,1.86
W_15.8553_73.7822,2017-01-04,5.6,5.419775,4.6
W_15.8553_73.7822,2017-08-24,6.75,5.43646,5.6
W_15.8553_73.7822,2018-08-19,3.85,5.7333856,6.75
W_15.8553_73.7822,2019-01-09,4.7999997,5.724103,3.85
W_15.8553_73.7822,2019-05-19,8.25,6.014201,4.8
W_15.8553_73.7822,2019-08-19,3.6999998,4.906254,8.25
W_15.8553_73.7822,2019-11-09,4.25,4.2379313,3.7
W_15.8553_73.7822,2020-01-09,4.7,5.391383,4.25
W_15.8553_73.7822,2020-11-29,4.5,4.13102,4.7
W_15.8553_73.7822,2021-01-09,4.65,5.1035185,4.5
W_15.85_73.65,2017-01-04,6.1,6.5409904,5.9
W_15.85_73.65,2017-08-24,4.2,3.700178,6.1
W_15.85_73.65,2018-08-19,3.7499998,3.394029,4.2
W_15.85_73.65,2019-01-09,6.4,6.714138,3.75
W_15.85_73.65,2019-05-19,7.8,7.994361,6.4
W_15.85_73.65,2019-08-19,2.8000002,4.2228446,7.8
W_15.85_73.65,2019-11-09,4.15,3.5197504,2.8
W_15.85_73.65,2020-01-09,6.1000004,5.3862467,4.15
W_15.85_73.65,2020-11-29,5.2,5.199546,6.1
W_15.85_73.65,2021-01-09,6.16,5.964993,5.2
W_15.85_75.1167,2021-01-09,2.52,3.6077476,2.27
W_15.8667_73.8333,2017-01-04,4.8999996,4.4402275,3.6
W_15.8667_73.8333,2017-08-24,2.8000002,4.5515475,4.9
W_15.8667_73.8333,2018-08-19,0.8499999,1.4756829,2.8
W_15.8667_73.8333,2019-01-09,5.0,3.398038,0.85
W_15.8667_73.8333,2019-05-19,7.75,6.209895,5.0
W_15.8667_73.8333,2019-08-19,1.0,4.411781,7.75
W_15.8667_73.8333,2019-11-09,2.35,1.5325832,1.0
W_15.8667_73.8333,2020-01-09,4.8999996,3.4933977,2.35
W_15.8667_73.8333,2020-11-29,3.2,4.3205914,4.9
W_15.8667_73.8333,2021-01-09,4.62,3.8039653,3.2
W_15.8675_74.2333,2017-01-04,0.9,3.566564,2.5
W_15.8675_74.2333,2018-08-24,6.0,0.04607892,0.9
W_15.8675_74.2333,2019-01-09,8.05,5.847972,6.0
W_15.8675_74.2333,2019-05-19,7.42,7.848299,8.05
W_15.8675_74.2333,2019-08-19,6.1,6.975189,7.42
W_15.8675_74.2333,2019-11-09,7.0,7.291401,6.1
W_15.8675_74.2333,2020-01-09,7.2,8.144202,7.0
W_15.8675_74.2333,2020-11-29,6.7,6.8006234,7.2
W_15.8675_74.2333,2021-01-09,7.1499996,7.6265707,6.7
W_15.8833_78.65,2017-01-04,4.83,3.5098991,3.32
W_15.8833_78.65,2017-08-24,5.34,4.8267965,4.83
W_15.8833_78.65,2018-08-19,1.9700003,4.834826,5.34
W_15.8833_78.65,2018-11-04,7.59,2.1409378,1.97
W_15.8833_78.65,2019-01-04,5.28,7.9111915,7.59
W_15.8833_78.65,2019-05-04,7.9,5.6046624,5.28
W_15.8833_78.65,2019-08-19,4.08,5.972182,7.9
W_15.8833_78.65,2019-10-31,2.32,3.0325952,4.08
W_15.8833_78.65,2020-01-09,2.6999998,3.4105437,2.32
W_15.8833_78.65,2020-11-29,1.8000001,1.9132913,2.7
W_15.8833_78.65,2021-01-09,2.6299999,2.3488338,1.8
W_15.8889_78.15,2017-01-04,4.43,3.356103,2.83
W_15.8889_78.15,2017-08-24,3.7799997,4.695019,4.43
W_15.8889_78.15,2018-08-19,3.43,3.3728566,3.78
W_15.8889_78.15,2018-11-04,4.23,3.4111753,3.43
W_15.8889_78.15,2019-01-04,4.44,4.561509,4.23
W_15.8889_78.15,2019-05-04,4.1800003,5.1763105,4.44
W_15.8889_78.15,2019-08-19,2.27,3.0156593,4.18
W_15.8889_78.15,2019-10-31,2.08,1.6372974,2.27
W_15.8889_78.15,2020-01-09,4.41,2.466106,2.08
