stratum,value,n_held_out,n_current_evaluable,current_coverage_pct,n_candidate_evaluable,candidate_coverage_pct
well_id,well_id=W_17.5089_74.2278,27,10,0.37037037037037035,10,0.37037037037037035
well_id,well_id=W_17.5167_78.5125,22,15,0.6818181818181818,15,0.6818181818181818
well_id,well_id=W_17.5236_78.4428,6,1,0.16666666666666666,1,0.16666666666666666
well_id,well_id=W_17.5272_78.8831,28,17,0.6071428571428571,17,0.6071428571428571
well_id,well_id=W_17.5417_74.9583,25,9,0.36,9,0.36
well_id,well_id=W_17.5458_80.65,12,1,0.08333333333333333,1,0.08333333333333333
well_id,well_id=W_17.5633_77.6928,29,12,0.41379310344827586,12,0.41379310344827586
well_id,well_id=W_17.5706_80.5708,35,23,0.6571428571428571,23,0.6571428571428571
well_id,well_id=W_17.575_76.7583,31,13,0.41935483870967744,13,0.41935483870967744
well_id,well_id=W_17.5972_78.5792,31,18,0.5806451612903226,18,0.5806451612903226
well_id,well_id=W_17.6208_76.875,29,12,0.41379310344827586,12,0.41379310344827586
well_id,well_id=W_17.6333_77.4,14,6,0.42857142857142855,6,0.42857142857142855
well_id,well_id=W_17.6381_77.8781,17,14,0.8235294117647058,14,0.8235294117647058
well_id,well_id=W_17.6442_78.2797,15,12,0.8,12,0.8
well_id,well_id=W_17.65_75.4167,7,0,0.0,0,0.0
well_id,well_id=W_17.6667_77.5833,20,9,0.45,9,0.45
well_id,well_id=W_17.6667_78.6458,12,4,0.3333333333333333,4,0.3333333333333333
well_id,well_id=W_17.6694_78.9469,12,10,0.8333333333333334,10,0.8333333333333334
well_id,well_id=W_17.6708_79.325,57,25,0.43859649122807015,25,0.43859649122807015
well_id,well_id=W_17.6833_75.6667,27,10,0.37037037037037035,10,0.37037037037037035
well_id,well_id=W_17.6972_77.5278,31,12,0.3870967741935484,12,0.3870967741935484
well_id,well_id=W_17.6_74.2,28,9,0.32142857142857145,9,0.32142857142857145
well_id,well_id=W_17.7083_73.9806,25,9,0.36,9,0.36
well_id,well_id=W_17.7403_78.9222,19,11,0.5789473684210527,11,0.5789473684210527
well_id,well_id=W_17.7528_74.0514,24,9,0.375,9,0.375
well_id,well_id=W_17.7611_77.7139,30,12,0.4,12,0.4
well_id,well_id=W_17.7692_74.3308,19,11,0.5789473684210527,11,0.5789473684210527
well_id,well_id=W_17.7839_79.4083,59,25,0.423728813559322,25,0.423728813559322
well_id,well_id=W_17.7872_76.9331,27,11,0.4074074074074074,11,0.4074074074074074
well_id,well_id=W_17.8236_76.3336,20,11,0.55,11,0.55
well_id,well_id=W_17.8264_79.0158,37,23,0.6216216216216216,23,0.6216216216216216
well_id,well_id=W_17.8333_76.6833,28,11,0.39285714285714285,11,0.39285714285714285
well_id,well_id=W_17.8333_76.8667,28,11,0.39285714285714285,11,0.39285714285714285
well_id,well_id=W_17.8417_77.9778,15,9,0.6,9,0.6
well_id,well_id=W_17.8417_79.9333,30,12,0.4,12,0.4
well_id,well_id=W_17.8525_79.9903,26,10,0.38461538461538464,10,0.38461538461538464
well_id,well_id=W_17.8533_78.0661,16,13,0.8125,13,0.8125
well_id,well_id=W_17.8611_79.2819,31,12,0.3870967741935484,12,0.3870967741935484
well_id,well_id=W_17.8667_74.325,28,9,0.32142857142857145,9,0.32142857142857145
well_id,well_id=W_17.8681_73.7514,8,0,0.0,0,0.0
well_id,well_id=W_17.8778_77.4022,25,8,0.32,8,0.32
well_id,well_id=W_17.8811_79.7156,30,12,0.4,12,0.4
well_id,well_id=W_17.8953_75.575,19,12,0.631578947368421,12,0.631578947368421
well_id,well_id=W_17.8958_78.2083,31,19,0.6129032258064516,19,0.6129032258064516
well_id,well_id=W_17.9117_75.4322,29,11,0.3793103448275862,11,0.3793103448275862
well_id,well_id=W_17.9117_79.3339,30,13,0.43333333333333335,13,0.43333333333333335
well_id,well_id=W_17.9125_74.0917,1,0,0.0,0,0.0
well_id,well_id=W_17.9167_76.7667,27,11,0.4074074074074074,11,0.4074074074074074
well_id,well_id=W_17.9556_78.1889,31,20,0.6451612903225806,20,0.6451612903225806
well_id,well_id=W_17.9667_73.2333,28,12,0.42857142857142855,12,0.42857142857142855
well_id,well_id=W_17.9667_73.9833,27,8,0.2962962962962963,8,0.2962962962962963
well_id,well_id=W_17.9667_74.35,28,9,0.32142857142857145,9,0.32142857142857145
well_id,well_id=W_17.9917_77.325,21,8,0.38095238095238093,8,0.38095238095238093
well_id,well_id=W_18.0042_73.4,20,5,0.25,5,0.25
well_id,well_id=W_18.0108_74.3503,15,10,0.6666666666666666,10,0.6666666666666666
well_id,well_id=W_18.025_78.2194,37,27,0.7297297297297297,27,0.7297297297297297
well_id,well_id=W_18.0292_75.1917,23,9,0.391304347826087,9,0.391304347826087
well_id,well_id=W_18.0319_73.0806,28,13,0.4642857142857143,13,0.4642857142857143
well_id,well_id=W_18.0333_79.5347,31,13,0.41935483870967744,13,0.41935483870967744
well_id,well_id=W_18.0417_79.325,31,13,0.41935483870967744,13,0.41935483870967744
well_id,well_id=W_18.0575_78.1089,26,20,0.7692307692307693,20,0.7692307692307693
well_id,well_id=W_18.05_76.5667,30,10,0.3333333333333333,10,0.3333333333333333
well_id,well_id=W_18.0639_75.8958,9,7,0.7777777777777778,7,0.7777777777777778
well_id,well_id=W_18.0856_76.4022,17,12,0.7058823529411765,12,0.7058823529411765
well_id,well_id=W_18.0944_74.6111,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_18.0989_75.9708,12,9,0.75,9,0.75
well_id,well_id=W_18.0_79.5833,29,12,0.41379310344827586,12,0.41379310344827586
well_id,well_id=W_18.1083_78.5,11,5,0.45454545454545453,5,0.45454545454545453
well_id,well_id=W_18.1083_79.8333,10,0,0.0,0,0.0
well_id,well_id=W_18.1222_73.2156,28,13,0.4642857142857143,13,0.4642857142857143
well_id,well_id=W_18.125_80.725,38,20,0.5263157894736842,20,0.5263157894736842
well_id,well_id=W_18.15_73.975,27,8,0.2962962962962963,8,0.2962962962962963
well_id,well_id=W_18.1647_74.1686,28,11,0.39285714285714285,11,0.39285714285714285
well_id,well_id=W_18.1653_78.4081,10,7,0.7,7,0.7
well_id,well_id=W_18.1667_80.2083,37,17,0.4594594594594595,17,0.4594594594594595
well_id,well_id=W_18.1667_80.4,24,11,0.4583333333333333,11,0.4583333333333333
well_id,well_id=W_18.18_76.0453,29,12,0.41379310344827586,12,0.41379310344827586
well_id,well_id=W_18.1_77.2833,51,20,0.39215686274509803,20,0.39215686274509803
well_id,well_id=W_18.2053_80.2056,28,9,0.32142857142857145,9,0.32142857142857145
well_id,well_id=W_18.2114_77.425,22,10,0.45454545454545453,10,0.45454545454545453
