experiment,model,cv_type,season,region,n,rmse,mae,r2,bias,corr
B,random_forest,spatial_block,winter,all,4096,0.109029398336161,0.08179509144400543,0.6050417391899607,-0.04115701235967737,0.8173040733901467
B,random_forest,temporal_holdout,post-monsoon,all,11859,0.11111217006663722,0.08970685938174522,0.6649801625751302,-0.03904672962368209,0.8406568863624929
B,random_forest,temporal_holdout,pre-monsoon,all,8192,0.1992509252838386,0.17273489769967482,-0.6101072331221282,-0.16461886928142466,0.7003432559336571
B,hist_gradient_boosting,random,monsoon,all,2552,0.08813867821692242,0.06817214225800301,0.7791229201363831,-0.0003896778272894487,0.8832587922967876
B,hist_gradient_boosting,random,post-monsoon,all,19990,0.06959746718155678,0.05352044739783478,0.8753757455059004,0.0005443792345643255,0.9358485485913234
B,hist_gradient_boosting,random,pre-monsoon,all,35275,0.05013688981132996,0.03597654577003306,0.8873059598080841,0.00020579230836554,0.9420640117693171
B,hist_gradient_boosting,random,winter,all,4096,0.05032306454930572,0.03705415171472339,0.9158608476984905,-0.0002696119612017894,0.957438949590458
B,hist_gradient_boosting,spatial_block,monsoon,all,2552,0.13256524079399198,0.10473133200916301,0.5003373171432639,0.03971629308936478,0.7403317283312996
B,hist_gradient_boosting,spatial_block,post-monsoon,all,19990,0.09799580312132762,0.07613454904720934,0.7529239460466182,0.005801638529788163,0.8712590388822734
B,hist_gradient_boosting,spatial_block,pre-monsoon,all,35275,0.09928276125246867,0.08106167429270372,0.5580899640763871,0.029678020270390303,0.7744279906347115
B,hist_gradient_boosting,spatial_block,winter,all,4096,0.09885331718754042,0.07667396417656752,0.6753267819955567,-0.018308199797765802,0.8359012852161228
B,hist_gradient_boosting,temporal_holdout,post-monsoon,all,11859,0.11825212080767405,0.09556652163294081,0.6205407525637924,-0.048132649864178756,0.8267785970695127
B,hist_gradient_boosting,temporal_holdout,pre-monsoon,all,8192,0.16734323533799647,0.14386086724397024,-0.13571779258273597,-0.12645794749174558,0.7162153646186725
