stratum,value,n,rmse,mae,r2,kriging_rmse
year+season+region,year=2015 | season=pre-monsoon | region=NE,141,4.229334099846794,3.268474933534671,-0.3580219188131992,3.704794230929913
year+season+region,year=2015 | season=pre-monsoon | region=NW,125,5.393491630579812,4.007585500378526,-0.016951029384653094,5.363812223070731
year+season+region,year=2015 | season=pre-monsoon | region=SE,162,8.885521691329924,5.665823268653693,-0.061717306669659466,8.500325160325232
year+season+region,year=2015 | season=pre-monsoon | region=SW,125,3.9465579467973484,3.321845687013092,0.10739780879946781,4.350737804001555
year+season+region,year=2016 | season=monsoon | region=NE,137,3.5159719528353914,2.869632990381285,-0.1419606514474323,3.842071898560127
year+season+region,year=2016 | season=monsoon | region=NW,135,5.07730325153371,3.580790840211197,0.13436247680741298,5.165451734599416
year+season+region,year=2016 | season=monsoon | region=SE,152,6.76572520457447,4.415731249080911,0.13562097697054742,7.003295053200327
year+season+region,year=2016 | season=monsoon | region=SW,125,3.81427545050531,2.971344976987337,0.13180900107855587,3.796856577663197
year+season+region,year=2016 | season=post-monsoon | region=NE,189,3.0893114969195627,2.4170177918050975,0.3021073056341682,3.2514820214699904
year+season+region,year=2016 | season=post-monsoon | region=NW,191,5.086528926837469,3.6015702884783947,0.010823545744468421,5.457492058387991
year+season+region,year=2016 | season=post-monsoon | region=SE,237,5.529744863239746,3.950529964842794,0.1711234923616325,5.568266376994032
year+season+region,year=2016 | season=post-monsoon | region=SW,167,3.6981136521377365,2.8543998544655347,0.1628005418685341,3.8939710863495107
year+season+region,year=2016 | season=pre-monsoon | region=NE,129,4.547924527207347,3.5186847347549155,-0.030984850102915074,4.672029781168836
year+season+region,year=2016 | season=pre-monsoon | region=NW,121,14.113610957995803,5.115103022417072,0.03530765731608687,14.048620927012214
year+season+region,year=2016 | season=pre-monsoon | region=SE,113,6.639017835169121,4.738087649086587,0.15827555309191843,6.731954704037611
year+season+region,year=2016 | season=pre-monsoon | region=SW,116,3.940052878973885,3.1738367187541816,0.19012499968748509,3.9518703616079573
year+season+region,year=2017 | season=monsoon | region=NE,141,3.4223226391319765,2.7262813639866588,0.01951820952354688,3.2983274664055156
year+season+region,year=2017 | season=monsoon | region=NW,130,5.06933677819424,3.8949527425188193,0.06554773786332013,5.116592184842032
year+season+region,year=2017 | season=monsoon | region=SE,162,6.4811089826906745,4.451638905115547,0.070256584425471,6.352322249432782
year+season+region,year=2017 | season=monsoon | region=SW,114,4.018904444746663,3.146569747249291,0.11011076046154578,4.029690197321686
year+season+region,year=2017 | season=post-monsoon | region=NE,298,3.2984850552087215,2.4405160330021647,0.10670818520646197,3.2858463270507263
year+season+region,year=2017 | season=post-monsoon | region=NW,268,4.937708274434608,3.457016270522317,0.0015415532608553661,5.046078461504267
year+season+region,year=2017 | season=post-monsoon | region=SE,465,5.103793801366504,3.741930990647228,0.10819908165235848,5.224714990814185
year+season+region,year=2017 | season=post-monsoon | region=SW,260,3.56531983129742,2.857617885187682,0.09958742151197486,3.5153447438381087
year+season+region,year=2017 | season=pre-monsoon | region=NE,146,4.887678864649891,3.4451062343003396,0.005492044671897678,4.9440949697887335
year+season+region,year=2017 | season=pre-monsoon | region=NW,134,5.151917985579232,3.5721909848227704,0.026292196682802804,5.14994845970264
year+season+region,year=2017 | season=pre-monsoon | region=SE,163,7.590759642998361,5.229576060988577,0.07812011691783927,7.787220582382299
year+season+region,year=2017 | season=pre-monsoon | region=SW,113,3.6614671493540114,3.0329949530427878,0.19325131560404163,3.8394686873615704
year+season+region,year=2018 | season=monsoon | region=NE,136,4.058287469038805,3.4438393896783146,-0.10196049663035134,3.66157219606475
year+season+region,year=2018 | season=monsoon | region=NW,125,5.28729201796551,3.9810646102940934,0.019006307733156702,5.701061060367234
year+season+region,year=2018 | season=monsoon | region=SE,153,6.891598066435434,4.7162236194278755,0.15833822806494102,6.720540144027836
year+season+region,year=2018 | season=monsoon | region=SW,130,3.886327292300859,3.1336566136656807,0.14468038823764962,3.8908810489728785
year+season+region,year=2018 | season=post-monsoon | region=NE,190,4.47956442694969,2.8879702381728567,0.08665556839999078,4.495803302652438
year+season+region,year=2018 | season=post-monsoon | region=NW,140,4.950781667340004,3.521109406196566,0.10641661323198881,5.170046152739071
year+season+region,year=2018 | season=post-monsoon | region=SE,315,5.917185357339247,4.090297581025688,0.09326851919393753,6.577096485214585
year+season+region,year=2018 | season=post-monsoon | region=SW,175,3.7294900839104783,3.039828894685687,0.04224767532447993,3.7978405874407053
year+season+region,year=2018 | season=pre-monsoon | region=NE,144,5.112333190193554,3.385472810171134,0.03489808497328728,5.057629435723777
year+season+region,year=2018 | season=pre-monsoon | region=NW,134,6.56950384624998,3.859343763586297,-0.001270260847272775,6.63524511480427
year+season+region,year=2018 | season=pre-monsoon | region=SE,162,6.953123748963472,4.5936820986148,0.05269621983809458,6.67959607149971
year+season+region,year=2018 | season=pre-monsoon | region=SW,118,4.36327730639378,3.5138299357485208,-0.039671683208686304,3.9431724248964626
year+season+region,year=2019 | season=monsoon | region=NE,140,3.8797355430481013,2.871759303343382,-0.044555671235054106,3.639385385463474
year+season+region,year=2019 | season=monsoon | region=NW,132,5.753354134826591,4.098864994739175,0.013412803566819842,6.135954332048906
