experiment,model,cv_type,fold,n,rmse,mae,r2,bias,corr
A,random_forest,temporal_holdout,0,20051,0.09979563608971924,0.078347613691926,0.7182856950540323,-0.005641957365227622,0.8482685274307828
A,hist_gradient_boosting,random,0,12383,0.06837030030195818,0.05220000697317517,0.8680859377776148,0.00016032240706257794,0.9319702056363804
A,hist_gradient_boosting,random,1,12383,0.0685911639118192,0.05273168348544932,0.8681139655939345,-9.198635724513687e-05,0.9319619091877386
A,hist_gradient_boosting,random,2,12383,0.06909742585060819,0.05277655398978968,0.8685573307258615,-0.0006297283806374015,0.932192563910806
A,hist_gradient_boosting,random,3,12382,0.06905598146863866,0.052447673001818414,0.8667391062203731,-4.926799427718655e-05,0.9312546059487895
A,hist_gradient_boosting,random,4,12382,0.06867718866505411,0.05234110200786593,0.868486509440789,0.00016152883495344748,0.9320070437966386
A,hist_gradient_boosting,spatial_block,0,12395,0.08612882923205252,0.06624256334849984,0.7459954255262264,-0.0038181414891141105,0.8640361309173097
A,hist_gradient_boosting,spatial_block,1,12369,0.07626482135854873,0.05966126139797275,0.8649480569703571,0.0029181347977036186,0.9301913299679919
A,hist_gradient_boosting,spatial_block,2,12409,0.07902993319284325,0.057774376954634825,0.862463496814787,0.006932646075920978,0.9292598479641623
A,hist_gradient_boosting,spatial_block,3,12398,0.0872497435364515,0.06559819025895787,0.7590507498521175,-0.0058307207795746715,0.8718596481723188
A,hist_gradient_boosting,spatial_block,4,12342,0.07981041879983944,0.06155347647981395,0.7695517632547909,-0.0034312650204382567,0.8775012632081965
A,hist_gradient_boosting,temporal_holdout,0,20051,0.09376228815028641,0.07297251036827476,0.7513192357827598,0.0007766912187926577,0.866959783937855
B,seasonal_median,random,0,12383,0.1146331446545236,0.08942720323521358,0.6291685732456007,-0.007208771756436245,0.8038095692808823
B,seasonal_median,random,1,12383,0.1146289789803483,0.08927908141357635,0.6316579393865867,-0.005737452313694902,0.8048665086428697
B,seasonal_median,random,2,12383,0.11379063521214167,0.08893656746794663,0.6435277917169415,-0.005074857380606396,0.8118117546783943
B,seasonal_median,random,3,12382,0.11460185021093347,0.089386852343644,0.6329853704563739,-0.008092428250104991,0.8066317249355363
B,seasonal_median,random,4,12382,0.11303785159999653,0.08860865092270068,0.6437186604108835,-0.0054709373515354565,0.8134256992581133
B,seasonal_median,spatial_block,0,12395,0.1722738511304571,0.13920286852471966,-0.016209323579752244,-0.02175756154869705,-1.270482067378387e-16
B,seasonal_median,spatial_block,1,12369,0.2098353016310878,0.15712071282465845,-0.022373135749774287,0.031041111781728498,
B,seasonal_median,spatial_block,2,12409,0.2175394382313829,0.15911842995139816,-0.04210325908676582,0.043726073747030365,
B,seasonal_median,spatial_block,3,12398,0.17785539146026597,0.13832833534187772,-0.0012241825661118977,-0.006219055959945167,
B,seasonal_median,spatial_block,4,12342,0.1667615833250686,0.13205307113825443,-0.0061117704491109315,0.012997397827607836,2.5018981048757556e-16
B,seasonal_median,temporal_holdout,0,20051,0.13590132988961848,0.11000522666887018,0.47756385984392247,-0.09412091441339004,0.8614403315848939
B,random_forest,random,0,12383,0.05350473649857467,0.03780680644073038,0.9192131678597361,-0.00012832678434948838,0.9588283316293228
B,random_forest,random,1,12383,0.05360906452316055,0.03779028657235926,0.9194363891712831,0.0005646969545925592,0.9589714364554561
B,random_forest,random,2,12383,0.053937891258504456,0.03812323701726387,0.919905893721621,-7.184666313295162e-05,0.959218328898007
B,random_forest,random,3,12382,0.053491004062756656,0.03782607886034476,0.9200420561643664,0.0006592894755762379,0.9593339312315555
B,random_forest,random,4,12382,0.053581998171887704,0.037584092792380064,0.9199459888097372,-0.0001203995292520081,0.9592183974643788
