date,row,col,chirps,gldas_sm,sentinel2_ndvi,grace,elevation,slope,month_sin,month_cos,lon,lat,pixel_id
2015-08-01,40,44,6.1618466,29.232445,0.49049148,4.8783474,509.5334,0.25599867,-0.4999999999999997,-0.8660254037844388,78.39682539682539,17.936507936507937,40_44
2015-08-01,40,45,5.624517,29.274033,0.5489983,4.8783474,548.8355,0.27405316,-0.4999999999999997,-0.8660254037844388,78.52857142857142,17.936507936507937,40_45
2015-08-01,40,46,5.3474946,29.335718,0.55382353,4.8783474,547.8899,0.2546147,-0.4999999999999997,-0.8660254037844388,78.66031746031746,17.936507936507937,40_46
2015-08-01,40,47,5.3228974,29.550781,0.5504994,4.8783474,542.72003,0.26292875,-0.4999999999999997,-0.8660254037844388,78.79206349206349,17.936507936507937,40_47
2015-08-01,40,48,5.2212152,29.65556,0.49857068,4.8783474,515.2681,0.32275295,-0.4999999999999997,-0.8660254037844388,78.92380952380952,17.936507936507937,40_48
2015-08-01,40,49,4.7839656,31.499195,0.5308784,7.595592,463.43445,0.24921162,-0.4999999999999997,-0.8660254037844388,79.05555555555556,17.936507936507937,40_49
2015-08-01,40,50,4.721215,32.702427,0.5410987,9.392646,453.41656,0.23513284,-0.4999999999999997,-0.8660254037844388,79.18730158730159,17.936507936507937,40_50
2015-08-01,41,41,4.7816477,30.499462,0.5196814,4.8783474,523.8899,0.21956706,-0.4999999999999997,-0.8660254037844388,78.0015873015873,17.834920634920636,41_41
2015-08-01,41,42,5.3991694,29.139196,0.5868052,4.8783474,507.13553,0.2163394,-0.4999999999999997,-0.8660254037844388,78.13333333333334,17.834920634920636,41_42
2015-08-01,41,43,6.198086,29.030638,0.54547286,4.8783474,528.3281,0.27657408,-0.4999999999999997,-0.8660254037844388,78.26507936507937,17.834920634920636,41_43
2015-08-01,41,44,5.779716,28.9932,0.50018823,4.8783474,536.3541,0.3122489,-0.4999999999999997,-0.8660254037844388,78.39682539682539,17.834920634920636,41_44
2015-08-01,41,45,5.380697,29.050364,0.49646783,4.8783474,548.42303,0.24573384,-0.4999999999999997,-0.8660254037844388,78.52857142857142,17.834920634920636,41_45
2015-08-01,41,46,5.387237,29.135033,0.522304,4.8783474,573.41785,0.24812765,-0.4999999999999997,-0.8660254037844388,78.66031746031746,17.834920634920636,41_46
2015-08-01,41,47,5.3519816,29.350327,0.5501372,4.8783474,560.5624,0.24947661,-0.4999999999999997,-0.8660254037844388,78.79206349206349,17.834920634920636,41_47
2015-08-01,41,48,5.2760086,29.455217,0.51571363,4.8783474,535.7821,0.29487088,-0.4999999999999997,-0.8660254037844388,78.92380952380952,17.834920634920636,41_48
2015-08-01,41,49,5.0087047,31.396679,0.51985466,7.595592,484.67496,0.27230152,-0.4999999999999997,-0.8660254037844388,79.05555555555556,17.834920634920636,41_49
2015-08-01,41,50,4.7048993,32.66407,0.5288494,9.392646,462.99765,0.30693308,-0.4999999999999997,-0.8660254037844388,79.18730158730159,17.834920634920636,41_50
2015-08-01,42,40,4.4538174,27.354887,0.40586856,4.8783474,546.453,0.24796645,-0.4999999999999997,-0.8660254037844388,77.86984126984127,17.733333333333334,42_40
2015-08-01,42,41,4.503416,27.763708,0.4653706,4.8783474,520.54913,0.1597809,-0.4999999999999997,-0.8660254037844388,78.0015873015873,17.733333333333334,42_41
2015-08-01,42,42,4.941895,28.846254,0.57860917,4.8783474,505.9606,0.14104015,-0.4999999999999997,-0.8660254037844388,78.13333333333334,17.733333333333334,42_42
2015-08-01,42,43,5.333233,29.082037,0.5689694,4.8783474,541.971,0.31616658,-0.4999999999999997,-0.8660254037844388,78.26507936507937,17.733333333333334,42_43
2015-08-01,42,44,4.936516,29.270388,0.5357344,4.8783474,594.5007,0.35062754,-0.4999999999999997,-0.8660254037844388,78.39682539682539,17.733333333333334,42_44
2015-08-01,42,45,4.6736345,29.134317,0.49218705,4.8783474,589.91254,0.23643456,-0.4999999999999997,-0.8660254037844388,78.52857142857142,17.733333333333334,42_45
2015-08-01,42,46,4.852652,28.93371,0.48423988,4.8783474,591.74133,0.21244603,-0.4999999999999997,-0.8660254037844388,78.66031746031746,17.733333333333334,42_46
2015-08-01,42,47,5.152791,29.070965,0.50488174,4.8783474,568.403,0.31134677,-0.4999999999999997,-0.8660254037844388,78.79206349206349,17.733333333333334,42_47
2015-08-01,42,48,5.1272907,29.137836,0.5167204,4.8783474,493.63205,0.40723825,-0.4999999999999997,-0.8660254037844388,78.92380952380952,17.733333333333334,42_48
