kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_crop,bc_supply,bc_penalty,bc_reconstructed,cql_crop,cql_supply,cql_penalty,cql_reconstructed,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive
per_seed,w1.0_1.0_0.5,,,,,,,123.0,12.987053771053251,13.101206115950141,6.688241124119393,19.41567520289155,3.409024954511917,12.987053771053251,6.742664104157835,19.41997848425866,3.3514472303370253,13.101206115950138,"[1477, 4541, 1983, 1616, 383]","[1279, 4842, 1980, 1666, 233]",w1.0_1.0_0.5_s123,0.11415234489688843,0.04483595072211018,0.18815195772702764,False,0.9996
per_seed,w1.0_1.0_0.5,,,,,,,2024.0,13.085960285974222,13.175643200682133,6.89064401725136,19.40475691962683,3.5070621910905535,13.08596028597422,6.924364592431439,19.41490214440027,3.4561724639494487,13.175643200682126,"[1427, 4406, 2212, 1633, 322]","[1297, 4523, 2242, 1727, 211]",w1.0_1.0_0.5_s2024,0.08968291470790897,0.028319604422865446,0.15216874047342305,False,0.998
pooled,w1.0_1.0_0.5,,,,,,,,13.106500930467238,13.205296807363283,,,,,,,,,,,w1.0_1.0_0.5_pooled,0.09879587689604488,0.0575176175983466,0.13999047906079895,False,1.0
reward_stats,w1.0_4.0_0.5,30000.0,-18.500017166137695,1.4994895458221436,0.10911614104823966,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_4.0_0.5,,,,,,,42.0,2.259740725937666,3.2029728466711833,7.221370770015091,19.37473460100934,3.662249336145524,2.2597407259376645,7.196295472175538,19.42455806436401,3.4264004144215905,3.20297284667118,"[1115, 4505, 2244, 1738, 398]","[1023, 4633, 2307, 1891, 146]",w1.0_4.0_0.5_s42,0.9432321207335178,0.5117651691152156,1.3977440040425797,False,1.0
per_seed,w1.0_4.0_0.5,,,,,,,123.0,2.7599789075175005,3.8840939664781704,6.688241124119393,19.41567520289155,3.409024954511917,2.7599789075174996,6.655919153373037,19.468241917205688,3.1264865363744287,3.884093966478167,"[1477, 4541, 1983, 1616, 383]","[1303, 4854, 2057, 1660, 126]",w1.0_4.0_0.5_s123,1.1241150589606708,0.7772526320439103,1.5002005548347817,False,1.0
per_seed,w1.0_4.0_0.5,,,,,,,2024.0,2.564773712702565,3.9217467422757126,6.89064401725136,19.40475691962683,3.5070621910905535,2.5647737127025607,6.790860933594435,19.478781234881943,3.1521262021899243,3.921746742275708,"[1427, 4406, 2212, 1633, 322]","[1305, 4641, 2299, 1619, 136]",w1.0_4.0_0.5_s2024,1.3569730295731475,0.7960069411246307,2.191060278718109,False,1.0
pooled,w1.0_4.0_0.5,,,,,,,,2.528164448719244,3.669604518475022,,,,,,,,,,,w1.0_4.0_0.5_pooled,1.1414400697557787,0.857395110431633,1.4745980155374199,False,1.0
reward_stats,w1.0_2.0_0.5,30000.0,-8.977315902709961,1.4997447729110718,0.46180510070643505,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_2.0_0.5,,,,,,,42.0,9.584239398228714,9.778598676934088,7.221370770015091,19.37473460100934,3.662249336145524,9.584239398228712,7.268357308646453,19.38965463317176,3.5922929741491267,9.778598676934081,"[1115, 4505, 2244, 1738, 398]","[1025, 4581, 2295, 1850, 249]",w1.0_2.0_0.5_s42,0.1943592787053767,0.022933204919693365,0.36784360405424876,False,0.9852
per_seed,w1.0_2.0_0.5,,,,,,,123.0,9.578028816541336,9.817553507896628,6.688241124119393,19.41567520289155,3.409024954511917,9.578028816541334,6.727094901267817,19.429172999767584,3.3120639466274913,9.817553507896626,"[1477, 4541, 1983, 1616, 383]","[1282, 4847, 2030, 1603, 238]",w1.0_2.0_0.5_s123,0.23952469135529267,0.1066903713486356,0.3839360994770401,False,0.9998
per_seed,w1.0_2.0_0.5,,,,,,,2024.0,9.578898094883673,9.76598178134803,6.89064401725136,19.40475691962683,3.5070621910905535,9.578898094883668,6.9137446838830305,19.42106664614379,3.429148112803448,9.765981781348028,"[1427, 4406, 2212, 1633, 322]","[1272, 4571, 2294, 1623, 240]",w1.0_2.0_0.5_s2024,0.1870836864643591,0.06493888161587497,0.3089553481591638,False,0.998
pooled,w1.0_2.0_0.5,,,,,,,,9.580388769884573,9.787377988726249,,,,,,,,,,,w1.0_2.0_0.5_pooled,0.2069892188416762,0.1209517645746431,0.2889254245419456,False,1.0
